YY,MM,QUINCENA,SUBPARTIDA,CANTIDAD,TOTAL_USD
2022,01,1,82,2279,10502143
2022,01,1,83,1498,10963534
2022,01,1,87,7603,131799396
2022,01,2,87,10631,221298584
2022,01,2,83,2141,16192830
2022,01,2,82,3058,12702412
2022,02,1,82,3004,13302615
2022,02,1,83,2183,16416558
2022,02,1,87,10668,155206161
2022,02,2,87,8666,142891620
2022,02,2,83,1825,13014787
2022,02,2,82,2610,10397460
2022,03,1,82,2695,11622959
2022,03,1,83,2056,15301188
2022,03,1,87,11345,196703708
2022,03,2,87,12060,214690295
2022,03,2,83,2268,15092415
2022,03,2,82,3204,14947886
2022,04,1,87,8669,202611556
2022,04,1,82,2188,9395884
2022,04,1,83,1507,8120080
2022,04,2,82,2301,10587743
2022,04,2,87,10509,195568647
2022,04,2,83,1852,15236167
2022,06,1,87,12137,200861273
2022,06,1,82,2912,13434779
2022,06,1,83,2107,14934797
2022,06,2,82,2353,9596069
2022,06,2,87,8650,175267486
2022,06,2,83,1841,12879442
2022,07,1,87,10427,241953792
2022,07,1,83,2054,14499079
2022,07,1,82,2577,10700757
2022,07,2,87,10479,172038870
2022,07,2,83,1994,11669759
2022,07,2,82,2879,11981171
2022,09,1,87,11546,298041554
2022,09,1,82,3073,13708360
2022,09,1,83,2197,13158591
2022,09,2,87,11815,229605025
2022,09,2,82,2880,11638640
2022,09,2,83,2087,12096926
2022,10,1,83,1890,10568787
2022,10,1,87,10265,184289971
2022,10,1,82,2545,11538002
2022,10,2,82,2961,11605141
2022,10,2,87,10648,294627271
2022,10,2,83,2053,12335176
2022,11,1,82,2737,9141083
2022,11,1,87,9616,184881793
2022,11,1,83,1888,8871478
2022,11,2,87,10460,264056090
2022,11,2,82,3151,11937758
2022,11,2,83,2190,10991944
2022,12,1,83,2120,11647608
2022,12,1,87,9424,251585054
2022,12,1,82,2757,10834255
2022,12,2,82,2848,11324180
2022,12,2,83,1815,9530805
2022,12,2,87,9016,271822716
2023,01,1,83,1537,8391713
2023,01,1,82,2311,8872436
2023,01,1,87,7847,163579011
2023,01,2,83,2104,17742709
2023,01,2,82,2978,11683979
2023,01,2,87,10271,173253376
